unique_registros_ID,genus,species,subspecies,if_hybrid,sex,locality_code,lat_dec,lon_dec,revised_accuracy,elev_min_etiq,elev_max_etiq,elev_unidad,day,month,year,Date_if_string,colector,coleccion,image_link
9699,Heliconius,telesiphe,telesiphe,,hembra,Chuchuras PER PA,-10.15,-75.23333333,,,,m,,,,,,MGCL/FLMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
9700,Heliconius,telesiphe,telesiphe,,macho,Peru  COUNTRY,-10.81888611,-75.32446944,999,,,m,,,,,,MGCL/FLMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
9701,Heliconius,telesiphe,telesiphe,,macho,Seco Rio PER SM,-6.15,-77.25,,,,m,,10,1952,,JAE,MGCL/FLMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
9702,Heliconius,telesiphe,telesiphe,,macho,El Porvenir PER PA,-10.73333333,-75.18333333,2,900,900,m,,,,,,MGCL/FLMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
9703,Heliconius,telesiphe,telesiphe,,macho,San Remon PER,-11.13333333,-75.35,2,3000,3000,ft,,7,1903,,Watkins & Tomlinson,MGCL/FLMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
9704,Heliconius,telesiphe,telesiphe,,macho,Oxapampa PER PA,-10.58333333,-75.4,,1800,1800,m,,,,,,MGCL/FLMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
9705,Heliconius,telesiphe,telesiphe,,macho,Peru  COUNTRY,-10.81888611,-75.32446944,999,,,m,,,,,,MGCL/FLMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
9706,Heliconius,telesiphe,telesiphe,,macho,Peru  COUNTRY,-10.81888611,-75.32446944,999,,,m,,,,,,MGCL/FLMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
9707,Heliconius,telesiphe,telesiphe,,macho,Chanchamayo PER JU,-11.06666667,-75.31666667,2,,,m,,,,,,MGCL/FLMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
9708,Heliconius,telesiphe,telesiphe,,macho,Chanchamayo PER JU,-11.06666667,-75.31666667,2,,,m,,,,,,MGCL/FLMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
9709,Heliconius,telesiphe,telesiphe,,macho,Chanchamayo PER JU,-11.06666667,-75.31666667,2,,,m,,,,,,MGCL/FLMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
9710,Heliconius,telesiphe,telesiphe,,macho,Chanchamayo PER JU,-11.06666667,-75.31666667,2,,,m,,,,,,MGCL/FLMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
9711,Heliconius,telesiphe,telesiphe,,macho,no data,,,999,,,m,,,,,,MGCL/FLMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
